Entry,Gene ontology (biological process),Gene ontology (cellular component),Gene ontology (molecular function)
P32768,GO:0071361;GO:0034605;GO:0070301;GO:0036281;GO:0000128;GO:0000501,GO:0031225;GO:0071944;GO:0005576;GO:0009277;GO:0005886,GO:0005537
P22147,GO:0000741;GO:0061157;GO:0016242;GO:0070651;GO:0000956;GO:0000184;GO:0032968;GO:0060261;GO:0006364;GO:0043144;GO:0007089;GO:0016078,GO:0005737;GO:0010494;GO:0005829;GO:0090512;GO:0005874;GO:0005634;GO:0000932;GO:0048471,GO:0004534;GO:0003682;GO:0003729
Q03497,GO:0000185;GO:0032147;GO:0007121;GO:0007118;GO:0000282;GO:0034605;GO:0001403;GO:0010629;GO:1990872;GO:0007232;GO:0000750;GO:0043065;GO:0006468;GO:0007124;GO:0007096;GO:0010468;GO:0023014;GO:0001402;GO:0035376;GO:0034063;GO:0000011,GO:0005737;GO:0000131;GO:0043332;GO:0005634;GO:0005886,GO:0005524;GO:0019899;GO:0044025;GO:0008349;GO:0003729;GO:0004672;GO:0004674
P38766,GO:0032508;GO:0006281;GO:0006260;GO:0044806;GO:0000002;GO:0097046;GO:0071932;GO:0000723,GO:0043596;GO:0005724;GO:0005657,GO:0043139;GO:0005524;GO:0003678;GO:0051880
P32944,GO:0051301;GO:0000086;GO:0051321;GO:0044879;GO:0010697;GO:0090154;GO:0006468;GO:0000320;GO:0008361;GO:0000079;GO:0040020,GO:0005935;GO:0005634,GO:0005524;GO:0046872;GO:0004672;GO:0004674;GO:0004713
P11632,GO:0006338;GO:0034724;GO:0001195;GO:0006298;GO:0043392;GO:0065004;GO:0006357;GO:0070898;GO:0051123,GO:0000790;GO:0005634;GO:0032993,GO:0008301;GO:0032407;GO:0031491
P36006,GO:0051666;GO:0007121;GO:0006897;GO:0006887;GO:0031505;GO:2000601;GO:0006970,GO:0030479;GO:0071944;GO:0016459,GO:0003779;GO:0005524;GO:0000146;GO:0017022
P53920,GO:0006915;GO:0044255;GO:0034605;GO:0030163;GO:0051438;GO:0120174,GO:0005634,GO:0004252;GO:0008236
P02294,GO:0006333;GO:0006334,GO:0000788;GO:0031298,GO:0003677;GO:0046982
P00950,GO:0006094;GO:0006096,GO:0005829;GO:0005758;GO:0005741;GO:0005739,GO:0004619
P02293,GO:0006333;GO:0000122;GO:0006334;GO:0006301,GO:0000788;GO:0031298,GO:0003677;GO:0046982
P00817,GO:0006796,GO:0005737;GO:0005634,GO:0004427;GO:0000287
P08640,GO:0043709;GO:0098609;GO:0036281;GO:0030447;GO:0000128;GO:0001403;GO:0007124;GO:0044011;GO:0090606,GO:0031225;GO:0005935;GO:0005618;GO:0005576;GO:0000324;GO:0005886,GO:0042802
Q12468,GO:0000754;GO:0070452;GO:0000338,GO:0008180;GO:0005737,GO:0046872;GO:0004222;GO:0008237;GO:0019784
P01120,GO:0007190;GO:0030437;GO:0032258;GO:0016236;GO:0045762;GO:2000222;GO:0000411;GO:0097271;GO:0007265;GO:0010603;GO:0032880;GO:0001302,GO:0071944;GO:0005789;GO:0005739;GO:0005634;GO:0005886,GO:0019003;GO:0003924;GO:0005525
P01119,GO:0007189;GO:0045762;GO:0097271;GO:0007265;GO:0001302,GO:0071944;GO:0005737;GO:0005634;GO:0005886,GO:0019003;GO:0003924;GO:0005525
P20840,GO:0000752;GO:0098609,GO:0031225;GO:0071944;GO:0005618;GO:0005576;GO:0009277;GO:0000324,GO:0050839
Q6WNK7,GO:0016578;GO:0051568;GO:0034729;GO:0071033;GO:0016973;GO:0045944;GO:0000973;GO:0032880;GO:0006357;GO:0006368,GO:0071819;GO:0005643;GO:0005654;GO:0000932;GO:0000124;GO:0070390,GO:0003682;GO:0008047;GO:0003713
P06844,GO:0006325;GO:0016573;GO:0001403;GO:0007124;GO:0006357;GO:0006366,GO:0005829;GO:0005634;GO:0000124;GO:0046695;GO:0005669,GO:0003677;GO:0046982;GO:0003712
P38894,GO:0031589;GO:0036281;GO:0000128;GO:0000501,GO:0031225;GO:0071944;GO:0005576;GO:0009277,GO:0005537
P24868,GO:0051301;GO:0008315;GO:0000086;GO:0044772;GO:0007052;GO:0010696;GO:0006468;GO:0000079;GO:0060631,GO:0005813;GO:0000307;GO:0005737;GO:0005634,GO:0016538;GO:0019901
P33299,GO:0045732;GO:0045899;GO:0070682;GO:0006511,GO:0005737;GO:0005634;GO:0008540,GO:0016887;GO:0005524;GO:0036402;GO:0017025;GO:0031625
