Entry,Gene ontology (biological process),Gene ontology (cellular component),Gene ontology (molecular function)
P38631,GO:0006075;GO:0071555;GO:0045807;GO:0008360;GO:0008361,GO:0000148;GO:0030479;GO:0071944;GO:0005933;GO:0005935;GO:0005934;GO:0016021;GO:0005739;GO:0005886,GO:0003843
P40989,GO:0006075;GO:0030476;GO:0008360,GO:0000148;GO:0071944;GO:0005935;GO:0016021;GO:0005628,GO:0003843
P22147,GO:0000741;GO:0061157;GO:0016242;GO:0070651;GO:0000956;GO:0000184;GO:0032968;GO:0060261;GO:0006364;GO:0043144;GO:0007089;GO:0016078,GO:0005737;GO:0010494;GO:0005829;GO:0090512;GO:0005874;GO:0005634;GO:0000932;GO:0048471,GO:0004534;GO:0003682;GO:0003729
P33302,GO:0030003;GO:0046898;GO:0042493;GO:0055085;GO:1990961,GO:0005623;GO:0071944;GO:0016021;GO:0005739;GO:0005886,GO:0016887;GO:0042626;GO:0008559;GO:0005524;GO:0042802
Q03834,GO:0036297;GO:0043570;GO:0000710;GO:0006298;GO:0045910;GO:0006290;GO:0043111,GO:0005737;GO:0032300;GO:0032301;GO:0005634,GO:0016887;GO:0005524;GO:0008094;GO:0000400;GO:0030983
P08539,GO:0000754;GO:0007188;GO:0048017;GO:0000742;GO:0000743;GO:0000750;GO:0071701,GO:0005829;GO:0005768;GO:0010008;GO:0005834;GO:0005886,GO:0031683;GO:0031681;GO:0001664;GO:0003924;GO:0005525;GO:0046872
P06169,GO:0000949;GO:0009083;GO:0019655;GO:0006559;GO:0006090;GO:0006569,GO:0005737;GO:0005829;GO:0005634,GO:0047433;GO:0016831;GO:0047434;GO:0000287;GO:0050177;GO:0004737;GO:0030976
P12904,GO:0005975;GO:0007031;GO:0045722;GO:0006468;GO:0006357;GO:0001302,GO:0005737;GO:0005829;GO:0005641;GO:0031588;GO:0005634;GO:0005886,GO:0005524;GO:0042802;GO:0043539
P25847,GO:0030466;GO:0006310;GO:0036297;GO:0043570;GO:0006311;GO:0000710;GO:0006298;GO:0006312;GO:0045910;GO:0006301;GO:0000735;GO:0043111,GO:0032300;GO:0032301;GO:0032302;GO:0000228;GO:0005634,GO:0016887;GO:0005524;GO:0008094;GO:0000406;GO:0000400;GO:0030983
P02994,GO:0051017;GO:0034198;GO:0006469;GO:0001933;GO:0006412;GO:0006414;GO:0006409,GO:0005737;GO:0005856;GO:0005829;GO:0000329;GO:0005739;GO:0005840,GO:0051015;GO:0019003;GO:0003924;GO:0005525;GO:0019901;GO:0017048;GO:0043022;GO:0003746
P06782,GO:0005975;GO:0007155;GO:0006995;GO:0000132;GO:0071940;GO:0035556;GO:0001403;GO:0017148;GO:1900436;GO:0045722;GO:0016239;GO:2000222;GO:0006468;GO:0001302;GO:0006986;GO:0090606,GO:0005623;GO:0000144;GO:0005737;GO:0005739;GO:0005641;GO:0031965;GO:0031588;GO:0005634;GO:0005774,GO:0004679;GO:0005086;GO:0005524;GO:0042802;GO:0004672;GO:0004674
P28240,GO:0006097;GO:0006099,GO:0005737;GO:0005576;GO:0005773,GO:0004451;GO:0046872;GO:0046421
P41277,GO:0006114;GO:0006071;GO:0006970,GO:0005737;GO:0005634,GO:0000121;GO:0046872
P32485,GO:0034605;GO:0071470;GO:0034599;GO:0043966;GO:0006972;GO:0035556;GO:0007231;GO:0045944;GO:0061393;GO:0006468;GO:0010468;GO:0016241;GO:0033262;GO:0061392;GO:0046685;GO:0051403,GO:0005737;GO:0005634,GO:0005524;GO:0005516;GO:0003682;GO:0004707
Q03497,GO:0000185;GO:0032147;GO:0007121;GO:0007118;GO:0000282;GO:0034605;GO:0001403;GO:0010629;GO:1990872;GO:0007232;GO:0000750;GO:0043065;GO:0006468;GO:0007124;GO:0007096;GO:0010468;GO:0023014;GO:0001402;GO:0035376;GO:0034063;GO:0000011,GO:0005737;GO:0000131;GO:0043332;GO:0005634;GO:0005886,GO:0005524;GO:0019899;GO:0044025;GO:0008349;GO:0003729;GO:0004672;GO:0004674
P38766,GO:0032508;GO:0006281;GO:0006260;GO:0044806;GO:0000002;GO:0097046;GO:0071932;GO:0000723,GO:0043596;GO:0005724;GO:0005657,GO:0043139;GO:0005524;GO:0003678;GO:0051880
P32944,GO:0051301;GO:0000086;GO:0051321;GO:0044879;GO:0010697;GO:0090154;GO:0006468;GO:0000320;GO:0008361;GO:0000079;GO:0040020,GO:0005935;GO:0005634,GO:0005524;GO:0046872;GO:0004672;GO:0004674;GO:0004713
P46946,GO:0000737;GO:0000729;GO:0010791;GO:0031292;GO:0042138;GO:0000706;GO:0035306;GO:1905779;GO:0000723;GO:0031860,GO:0005737;GO:0030870;GO:0005654;GO:0005634,GO:0003690;GO:0004520;GO:0042802;GO:0000014
P53104,GO:0000045;GO:0006914;GO:0000422;GO:0032258;GO:0044805;GO:0034727;GO:0046777;GO:0006468;GO:0061709,GO:1990316;GO:0000421;GO:0005829;GO:0097635;GO:0061908;GO:0000407;GO:0034045;GO:0120095,GO:0005524;GO:0004672;GO:0004674
P32478,GO:0031505,GO:0005621;GO:0005829;GO:0005576;GO:0009277,GO:0016887;GO:0005199
P31378,GO:0006284;GO:0006285;GO:0034599;GO:0006281;GO:0006296;GO:0090297,GO:0005739;GO:0005634,GO:0140078;GO:0003906;GO:0003677;GO:0008534;GO:0000703
P39013,GO:0000147;GO:0007015;GO:0030476;GO:0007121;GO:0006897,GO:0030479;GO:1990964;GO:0071944;GO:0010008;GO:0043332;GO:0005886,GO:0003779;GO:0005509;GO:0030674
P32791,GO:0006879;GO:0015677;GO:0006826,GO:0005623;GO:0016021;GO:0005886,GO:0052851;GO:0000293;GO:0046872
P32324,GO:1990145;GO:0045901;GO:0006414,GO:0005829;GO:1990904,GO:0003924;GO:0005525;GO:0043022;GO:0019843;GO:0003746
P19145,GO:0003333;GO:0006865;GO:0015846,GO:0030134;GO:0005783;GO:0005789;GO:0005768;GO:0000328;GO:0016021;GO:0005887;GO:0005771;GO:0005886,GO:0015171;GO:0001761;GO:0015192;GO:0015193;GO:0015203
P47001,GO:0031505,GO:0071944;GO:0005934;GO:0005783;GO:0005576;GO:0009277;GO:0000324;GO:0005886,GO:0005199
P53323,GO:0000282;GO:0018105;GO:0045944;GO:0006468;GO:0000723;GO:0000722;GO:0006400;GO:0070525,GO:0000781;GO:0005737;GO:0000408;GO:0005654;GO:0005634,GO:0016887;GO:0005524;GO:0004674
O13547,GO:0031505,GO:0031225;GO:0071944;GO:0005576;GO:0009277;GO:0005739,GO:0005199
P37267,GO:0034551,GO:0032592;GO:0005743;GO:0005739,
P40465,GO:0000730;GO:0070987;GO:0043007;GO:0045132;GO:0000725,GO:0005737;GO:0005634;GO:0097196;GO:0035861,
Q04935,GO:0033617;GO:0016485,GO:0016021;GO:0005743;GO:0005739,GO:0051082
P39969,GO:0007118;GO:0007032;GO:0001881;GO:0042147;GO:0000920,GO:0005933;GO:0005935;GO:0005856;GO:0005829;GO:0005769;GO:0055037;GO:0030427;GO:0005802,GO:0005543
Q06440,GO:0051666;GO:0007015;GO:0007017;GO:0034316;GO:2000601,GO:0030479,GO:0051015;GO:0071933;GO:0008017;GO:0030674
Q3E705,GO:0000462;GO:0071027;GO:0000321,GO:0030685;GO:0005730;GO:0030688,
P38073,,GO:0005634,GO:0000981;GO:0043565;GO:0008270
P53050,GO:0034605;GO:0061408;GO:0007124,GO:0000790;GO:0005634,GO:0003700;GO:0000978;GO:0043565
P47125,GO:0034354;GO:0019441,GO:0005737,GO:0020037;GO:0033754;GO:0046872
P43638,GO:0031505;GO:0007026,GO:0005737;GO:0005874;GO:0005819,GO:0005200
P23394,GO:0000395;GO:0000398,GO:0071013;GO:0005737;GO:0005682,GO:0005524;GO:0000384;GO:0003723;GO:0003724
P36023,GO:0000122;GO:0045944,GO:0005737;GO:0005739;GO:0005634,GO:0000981;GO:0000978;GO:0008270
P30657,GO:0010498;GO:0010499;GO:0043248;GO:0043161,GO:0005737;GO:0005789;GO:0005634;GO:0005839;GO:0019774;GO:0034515,GO:0004175;GO:0004298
P13712,GO:0006335,GO:0033186;GO:0005737;GO:0005634,
P46982,GO:0046354;GO:0006486;GO:0035268,GO:0005794,GO:0000026
P40007,GO:0042273;GO:0006364,GO:0005730;GO:0005634;GO:0030687,
P16451,GO:0006086,GO:0005967;GO:0005739,GO:0005198;GO:0016746
P39107,GO:0000032;GO:0097502;GO:0006487,GO:0000136;GO:0005801;GO:0005783;GO:0005789;GO:0000137,
P32499,GO:0030466;GO:0035392;GO:0031990;GO:0006607;GO:0016973;GO:0043547;GO:0000973;GO:0006611;GO:0006606;GO:0036228;GO:0000972,GO:0000781;GO:0005737;GO:0005739;GO:0042564;GO:0031965;GO:0005643;GO:0044614;GO:0044615;GO:0005634,GO:0061676;GO:0008536;GO:0017056
Q08550,GO:0032120;GO:0051301;GO:0048278,GO:0005737;GO:0035974;GO:0005628;GO:0000922;GO:0005816,GO:0005198
P25297,GO:0006828;GO:0006817;GO:0097080;GO:0006797;GO:1900062,GO:0005783;GO:0000324;GO:0005887,GO:0005315;GO:0005384;GO:0097079
P25719,GO:0006915;GO:0006457;GO:0042026,GO:0005759;GO:0005739;GO:0005634,GO:0016018;GO:0003755;GO:0051082
P53839,GO:0009436,GO:0005737;GO:0005829;GO:0005739;GO:0005634,GO:0030267;GO:0047964;GO:0016618;GO:0051287
P35192,GO:0006878;GO:0006879;GO:0045732;GO:0045944,GO:0005623;GO:0005634,GO:0005507;GO:0001228;GO:0000987;GO:0000978
P27810,GO:0000032;GO:0006487;GO:0006493,GO:0000324;GO:0000329;GO:0005794;GO:0000139;GO:0016021,GO:0000026
P32589,GO:0010499;GO:0043161;GO:0006457;GO:0042026,GO:0005737;GO:0005829;GO:0005634;GO:0005844,GO:0000774;GO:0005524;GO:0005516;GO:0042277
P53691,GO:0006457;GO:0042026,GO:0005737;GO:0005829,GO:0016018;GO:0003755;GO:0043022;GO:0051082
P33299,GO:0045732;GO:0045899;GO:0070682;GO:0006511,GO:0005737;GO:0005634;GO:0008540,GO:0016887;GO:0005524;GO:0036402;GO:0017025;GO:0031625
P38757,GO:0071072;GO:0006998;GO:1903740;GO:0006470,GO:0005789;GO:0016021;GO:0005811;GO:0005739;GO:0071595;GO:0031965,GO:0004721
P24004,GO:0007031;GO:0016558;GO:0016562;GO:0043335,GO:0005829;GO:0005778;GO:0005777,GO:0016887;GO:0042623;GO:0005524
P53549,GO:0006289;GO:0045899;GO:0032968;GO:0070682;GO:0030433,GO:0031597;GO:0005634;GO:0008540,GO:0016887;GO:0005524;GO:0019904;GO:0031625
P32494,GO:0006325;GO:0016573;GO:0043966;GO:0043967;GO:0006357,GO:0005671;GO:0000124;GO:0046695,GO:0003713
P20053,GO:0000398;GO:0034247;GO:0000393,GO:0005681;GO:0046540,GO:0030621;GO:0017070
P33203,GO:0045292;GO:0000398,GO:0005634;GO:0005685;GO:0071004,GO:0003723
Q03776,GO:0000395;GO:0000398,GO:0000243;GO:0005685;GO:0071004,GO:0003723
P53131,GO:0000466;GO:0000463;GO:0030490;GO:0000462;GO:0042273;GO:0006364;GO:0000390,GO:0030686;GO:0005739;GO:0071014,GO:0005524;GO:0003729;GO:0003723;GO:0003724
Q04734,GO:0030437,GO:0032153;GO:0035838;GO:0016021;GO:0005886,
Q03264,GO:0006364,GO:0005737;GO:0005622;GO:0005634,GO:0000175;GO:0004521;GO:0004535;GO:0003723
P53077,GO:0006123,GO:0005751;GO:0005739,GO:0004129
P16387,GO:0006086;GO:0006096;GO:0007124,GO:0042645;GO:0005967;GO:0005739,GO:0004739
P32379,GO:0010498;GO:0010499;GO:0043161,GO:0005737;GO:0042175;GO:0005634;GO:0005839;GO:0019773;GO:0034515,GO:0004175;GO:0004298
P53835,GO:0032220,GO:0000324;GO:0016021;GO:0043332;GO:0005886,
P33760,GO:0007031;GO:0016558;GO:0016562;GO:0006625;GO:0043335;GO:0001302,GO:0005829;GO:0005778;GO:0005777,GO:0016887;GO:0005524
P39108,GO:0016560,GO:0005829;GO:0005777,GO:0005053
P35724,GO:0010961,GO:0005623;GO:0000329;GO:0016021;GO:0016020;GO:0005886;GO:1990816,GO:0015095
P53163,GO:0032543,GO:0005762;GO:0042645;GO:0005739,GO:0003735
P40064,GO:0051028;GO:0051292;GO:0006913;GO:0000973;GO:0006606;GO:0036228;GO:0000972,GO:0031965;GO:0005643;GO:0044611,GO:0003677;GO:0003723;GO:0017056
P53311,GO:0006850,GO:0031305;GO:0031966;GO:0005739,GO:0050833
P53059,GO:0006493,GO:0071944;GO:0000329;GO:0005794;GO:0000139;GO:0016021,GO:0000033
Q12412,,GO:0071944;GO:0016021;GO:0005886,
P40325,,GO:0005737,
P50094,GO:0006177;GO:0006183,GO:0005737,GO:0003938;GO:0046872;GO:0003729;GO:0000166
Q12134,,GO:0005737,
P53150,GO:0006303,GO:0005737;GO:0032807;GO:0005634,GO:0003682
Q02574,GO:0006348;GO:0000077;GO:0000724;GO:0031573;GO:0044778;GO:0033314;GO:0006289;GO:0000723;GO:0000722,GO:0030896;GO:0000781;GO:0035861,GO:0003677
P21374,GO:0000350;GO:0000389,GO:0071013;GO:0005737;GO:0071014;GO:0071020;GO:0000974;GO:0071006;GO:0071007,
P33441,GO:0006310;GO:0006406;GO:0006397;GO:0034063;GO:0006368,GO:0000781;GO:0000446;GO:0000445,GO:0060090;GO:0003676
P33311,GO:0070301;GO:0090374,GO:0016021;GO:0005743;GO:0005739;GO:0005774,GO:0016887;GO:0015421;GO:0005524
Q06580,GO:0000916,GO:0000142;GO:0016460,GO:0005509;GO:0032038
P06774,GO:0000436;GO:0043457,GO:0016602;GO:0005634,GO:0003677;GO:0003700
P40469,GO:0007059;GO:0006259;GO:0006281;GO:0016226;GO:1905168;GO:0045893;GO:0097428;GO:0010033;GO:0009411,GO:0097361;GO:0005737;GO:0005829;GO:0005634,
P53096,GO:0016575;GO:0070932;GO:0070933;GO:0045835;GO:0032874;GO:0045944;GO:0006355,GO:0005737;GO:0000118;GO:0034399;GO:0005634;GO:0070210;GO:0034967,GO:0004407;GO:0017136;GO:0032041;GO:0045129
P49954,GO:0006528;GO:0043605;GO:0006541;GO:0006107,GO:0005737;GO:0005739,GO:0016811;GO:0050152
P41543,GO:0006487;GO:0018279,GO:0005783;GO:0016021;GO:0008250,GO:0004579
P26263,GO:0000949;GO:0009083;GO:0006067;GO:0006559;GO:0006569,GO:0005737;GO:0005829,GO:0047433;GO:0016831;GO:0047434;GO:0000287;GO:0050177;GO:0004737;GO:0030976
Q03723,GO:0034622;GO:0006487;GO:0018279,GO:0005783;GO:0016021;GO:0008250,GO:0015035
P33400,GO:0030437;GO:0071469;GO:0071454;GO:0009272;GO:0051321;GO:0000122;GO:0010973;GO:0045944,GO:0005737;GO:0005634,GO:0003677;GO:0001227;GO:0046872
P53164,GO:0019677;GO:0006734;GO:0006742,GO:0005737;GO:0005829;GO:0005777,GO:0016787;GO:0046872;GO:0000210;GO:0035529
Q02969,GO:0016559;GO:0007031;GO:0016558;GO:0044375,GO:0005779;GO:0005778;GO:0005777,
P53742,GO:2000200;GO:0000055,GO:0005730;GO:0005654;GO:0005634;GO:0030687,GO:0003924;GO:0005525;GO:0070180
Q04182,GO:0042493;GO:0055085;GO:1990961,GO:0071944;GO:0016021;GO:0005886,GO:0016887;GO:0042626;GO:0005524
Q03735,GO:0000398,GO:0005737;GO:0010494,GO:0003729
Q00402,GO:0032065;GO:0030989;GO:0000226;GO:0000266;GO:0000001;GO:0051646;GO:0030473,GO:0005938;GO:0005934;GO:0005783;GO:0005739,GO:0005543;GO:0015631
P20604,GO:0051301;GO:0034599;GO:0016311;GO:0006281;GO:0000082;GO:0035556;GO:0070262;GO:0006470;GO:0032956;GO:0060237;GO:0001302;GO:0031929;GO:0002098,GO:0005737;GO:0005634;GO:0000159,GO:0046872;GO:0004722
P18898,GO:0006874;GO:0030010;GO:0018344;GO:0018342;GO:0007264,GO:0005953;GO:0005623,GO:0004662;GO:0008270
P32521,GO:0000147;GO:0007120;GO:0007121;GO:0006897;GO:2000601,GO:0030479;GO:1990964;GO:0005935;GO:0005737;GO:0010008;GO:0043332;GO:0005634;GO:0005886,GO:0003779;GO:0071933;GO:0005509
Q03825,GO:1900524;GO:1900461;GO:0045944,GO:0005737;GO:0005634,
Q99189,GO:0006606;GO:0006404;GO:0006403;GO:0051031,GO:0005737;GO:0034399;GO:0005634,GO:0008139;GO:0008536
P17695,GO:0045454;GO:0034599;GO:0006749,GO:0005623;GO:0005829;GO:0005739;GO:0005634,GO:0015036;GO:0009055;GO:0004362;GO:0004602;GO:0004364;GO:0015035
P20447,GO:0000464;GO:0006364,GO:0005730;GO:0030687,GO:0005524;GO:0003723;GO:0008186;GO:0003724
P0CH63,GO:0018890,,GO:0018820;GO:0008270
Q12119,GO:0015856;GO:0072530,GO:0071944;GO:0000324;GO:0016021;GO:0005886,GO:0015205
P32599,GO:0051017;GO:0051639;GO:0007015;GO:0070649,GO:0030479;GO:0005884;GO:0032432;GO:0005934;GO:0005737;GO:0043332;GO:0005886,GO:0051015;GO:0046872;GO:0030674
Q00055,GO:0005975;GO:0046168;GO:0006072;GO:0006973;GO:0006116;GO:0016558,GO:0005623;GO:0005829;GO:0009331;GO:0005739;GO:0005634;GO:0005777,GO:0004367;GO:0051287;GO:0042803
P35197,GO:0030037;GO:0048205;GO:0006888;GO:0043001;GO:0006890,GO:0005856;GO:0005829;GO:0005768;GO:0000139;GO:0005739;GO:0048471;GO:0005802,GO:0003779;GO:0005096;GO:0046872
Q08906,GO:0055072;GO:0015891,GO:0031225;GO:0071944;GO:0005576;GO:0009277;GO:0000324,
Q06135,GO:0030476;GO:0071970;GO:0031505,GO:0031225;GO:0005737;GO:0009277;GO:0000324;GO:0005886,GO:0042124
P39676,GO:0071218;GO:0071500;GO:0034599;GO:1902170;GO:0046210;GO:0009636,GO:0005737;GO:0010494;GO:0005829;GO:0005759;GO:0005739;GO:0005634,GO:0071949;GO:0020037;GO:0046872;GO:0008941;GO:0016966;GO:0019825
P00360,GO:0006094;GO:0006096,GO:0005829;GO:0009277;GO:0005811;GO:0005739;GO:0005886,GO:0004365;GO:0051287;GO:0050661
P53048,GO:0000017;GO:0046352;GO:0000023;GO:0015768;GO:0015771,GO:0005887,GO:0005352;GO:0005351;GO:0005364;GO:0015574
P28817,GO:0009083;GO:0032543,GO:0005763;GO:0005739,GO:0003860;GO:0003735
P40164,GO:0006974;GO:2000002;GO:1902660;GO:2001034;GO:0006470;GO:0072462,GO:0005634;GO:0030289,GO:0019888
A0A023PZI1,,,
P20095,GO:0000349;GO:0034247,GO:0005681;GO:0071006,GO:0005524;GO:0003723;GO:0008186;GO:0003724
P38830,GO:0051301;GO:0051321;GO:0045944,GO:0000228,GO:0003700;GO:0043565
P38996,GO:0071041;GO:0071034;GO:0031124;GO:0071028;GO:0031126;GO:0034472;GO:0030847;GO:0042780,GO:0005737;GO:0035649;GO:0005654;GO:0005634,GO:0003729;GO:0003723;GO:0001068
