protein_a,protein_b,similarity_bf,similarity_cc,similarity_mf,similarity_avg
YLR331C,YLR331C,1,1,1,1
YLR331C,YLR253W,0.293,0.484,0.413,0.39666666666666667
YLR331C,YLR253W,0.293,0.484,0.413,0.39666666666666667
YLR331C,YLR254C,0.217,0.505,0.374,0.36533333333333334
YLR331C,YLR254C,0.217,0.505,0.374,0.36533333333333334
YLR331C,YLR258W,0.294,0.469,0.256,0.3396666666666666
YLR331C,YLR258W,0.294,0.469,0.256,0.3396666666666666
YLR331C,YLR259C,0.422,0.525,0.477,0.4746666666666666
YLR331C,YLR259C,0.422,0.525,0.477,0.4746666666666666
YLR331C,YLR260W,0.3,0.437,0.25,0.329
YLR331C,YLR260W,0.3,0.437,0.25,0.329
YLR331C,YLR284C,0.21,0.462,0.296,0.32266666666666666
YLR331C,YLR284C,0.21,0.462,0.296,0.32266666666666666
YLR331C,YLR286C,0.32,0.34,0.309,0.323
YLR331C,YLR286C,0.32,0.34,0.309,0.323
YLR331C,YLR288C,0.354,0.526,0.562,0.48066666666666674
YLR331C,YLR288C,0.354,0.526,0.562,0.48066666666666674
YLR331C,YLR289W,0.502,0.745,0.84,0.6956666666666665
YLR331C,YLR289W,0.502,0.745,0.84,0.6956666666666665
YLR331C,YLR291C,0.542,0.598,0.665,0.6016666666666667
YLR331C,YLR291C,0.542,0.598,0.665,0.6016666666666667
YLR331C,YLR292C,0.242,0.443,0.326,0.337
YLR331C,YLR292C,0.242,0.443,0.326,0.337
YLR331C,YLR293C,0.492,0.461,0.47,0.47433333333333333
YLR331C,YLR293C,0.492,0.461,0.47,0.47433333333333333
YLR331C,YLR294C,0.315,0.329,0.109,0.251
YLR331C,YLR294C,0.315,0.329,0.109,0.251
YLR331C,YLR233C,0.472,0.559,0.542,0.5243333333333334
YLR331C,YLR233C,0.472,0.559,0.542,0.5243333333333334
YLR331C,YLR234W,0.363,0.507,0.412,0.42733333333333334
YLR331C,YLR234W,0.363,0.507,0.412,0.42733333333333334
YLR331C,YLR262C,0.267,0.467,0.395,0.37633333333333335
YLR331C,YLR262C,0.267,0.467,0.395,0.37633333333333335
YLR331C,YLR264W,0.998,0.985,1,0.9943333333333334
YLR331C,YLR264W,0.998,0.985,1,0.9943333333333334
YLR331C,YLR265C,0.442,0.477,0.542,0.48700000000000004
YLR331C,YLR265C,0.442,0.477,0.542,0.48700000000000004
YLR331C,YLR268W,0.316,0.438,0.625,0.45966666666666667
YLR331C,YLR268W,0.316,0.438,0.625,0.45966666666666667
YLR331C,YLR270W,0.344,0.583,0.637,0.5213333333333333
YLR331C,YLR270W,0.344,0.583,0.637,0.5213333333333333
YLR331C,YLR272C,0.328,0.481,0.621,0.4766666666666666
YLR331C,YLR272C,0.328,0.481,0.621,0.4766666666666666
YLR331C,YLR273C,0.276,0.423,0.159,0.28600000000000003
YLR331C,YLR273C,0.276,0.423,0.159,0.28600000000000003
YLR331C,YLR210W,0.31,0.484,0.402,0.3986666666666667
YLR331C,YLR210W,0.31,0.484,0.402,0.3986666666666667
YLR331C,YLR212C,0.302,0.546,0.507,0.45166666666666666
YLR331C,YLR212C,0.302,0.546,0.507,0.45166666666666666
YLR331C,YLR213C,0.276,0.193,0.235,0.23466666666666666
YLR331C,YLR213C,0.276,0.193,0.235,0.23466666666666666
YLR331C,YLR238W,0.314,0.479,0.169,0.32066666666666666
YLR331C,YLR238W,0.314,0.479,0.169,0.32066666666666666
YLR331C,YLR239C,0.311,0.504,0.244,0.353
YLR331C,YLR239C,0.311,0.504,0.244,0.353
YLR331C,YLR240W,0.358,0.401,0.359,0.37266666666666665
YLR331C,YLR240W,0.358,0.401,0.359,0.37266666666666665
YLR331C,YLR242C,0.352,0.38,0.278,0.33666666666666667
YLR331C,YLR242C,0.352,0.38,0.278,0.33666666666666667
YLR331C,YLR243W,0.599,0.425,0.543,0.5223333333333334
YLR331C,YLR243W,0.599,0.425,0.543,0.5223333333333334
YLR331C,YLR244C,0.448,0.904,0.56,0.6373333333333334
YLR331C,YLR244C,0.448,0.904,0.56,0.6373333333333334
YLR331C,YLR246W,0.412,0.495,0.41,0.439
YLR331C,YLR246W,0.412,0.495,0.41,0.439
YLR331C,YLR247C,0.505,0.407,0.3,0.40399999999999997
YLR331C,YLR247C,0.505,0.407,0.3,0.40399999999999997
YLR331C,YLR248W,0.258,0.592,0.484,0.4446666666666667
YLR331C,YLR248W,0.258,0.592,0.484,0.4446666666666667
YLR331C,YLR249W,0.591,0.679,0.608,0.626
YLR331C,YLR249W,0.591,0.679,0.608,0.626
YLR331C,YLR250W,0.183,0.467,0.764,0.4713333333333334
YLR331C,YLR250W,0.183,0.467,0.764,0.4713333333333334
YLR331C,YLR251W,0.156,0.433,0.205,0.26466666666666666
YLR331C,YLR251W,0.156,0.433,0.205,0.26466666666666666
YLR331C,YLR189C,0.353,0.436,0.229,0.3393333333333333
YLR331C,YLR189C,0.353,0.436,0.229,0.3393333333333333
YLR331C,YLR190W,0.27,0.429,0.51,0.403
YLR331C,YLR190W,0.27,0.429,0.51,0.403
YLR331C,YLR214W,0.208,0.408,0.295,0.3036666666666667
YLR331C,YLR214W,0.208,0.408,0.295,0.3036666666666667
YLR331C,YLR215C,0.451,0.623,0.607,0.56033333333333335
YLR331C,YLR215C,0.451,0.623,0.607,0.56033333333333335
YLR331C,YLR218C,0.353,0.478,0.416,0.41566666666666663
YLR331C,YLR218C,0.353,0.478,0.416,0.41566666666666663
YLR331C,YLR221C,0.737,0.849,0.711,0.7656666666666666
YLR331C,YLR221C,0.737,0.849,0.711,0.7656666666666666
YLR331C,YLR223C,0.529,0.628,0.533,0.5633333333333334
YLR331C,YLR223C,0.529,0.628,0.533,0.5633333333333334
YLR331C,YLR224W,0.324,0.381,0.514,0.4063333333333334
YLR331C,YLR224W,0.324,0.381,0.514,0.4063333333333334
YLR331C,YLR226W,0.434,0.476,0.371,0.427
YLR331C,YLR226W,0.434,0.476,0.371,0.427
YLR331C,YLR227C,0.266,0.452,0.447,0.38833333333333336
YLR331C,YLR227C,0.266,0.452,0.447,0.38833333333333336
YLR331C,YLR229C,0.25,0.466,0.522,0.4126666666666667
YLR331C,YLR229C,0.25,0.466,0.522,0.4126666666666667
YLR331C,YLR230W,0.352,0.375,0.316,0.3476666666666666
YLR331C,YLR230W,0.352,0.375,0.316,0.3476666666666666
YLR331C,YLR167W,0.97,0.993,1,0.9876666666666667
YLR331C,YLR167W,0.97,0.993,1,0.9876666666666667
YLR331C,YLR168C,0.32,0.454,0.14,0.3046666666666667
YLR331C,YLR168C,0.32,0.454,0.14,0.3046666666666667
YLR331C,YLR191W,0.332,0.379,0.561,0.4240000000000001
YLR331C,YLR191W,0.332,0.379,0.561,0.4240000000000001
YLR331C,YLR192C,0.808,0.625,0.622,0.685
YLR331C,YLR192C,0.808,0.625,0.622,0.685
YLR331C,YLR193C,0.315,0.455,0.164,0.31133333333333335
YLR331C,YLR193C,0.315,0.455,0.164,0.31133333333333335
YLR331C,YLR196W,0.676,0.725,0.745,0.7153333333333333
YLR331C,YLR196W,0.676,0.725,0.745,0.7153333333333333
YLR331C,YLR197W,0.558,0.728,0.745,0.677
YLR331C,YLR197W,0.558,0.728,0.745,0.677
YLR331C,YLR198C,0.9,0.686,0.785,0.7903333333333333
YLR331C,YLR198C,0.9,0.686,0.785,0.7903333333333333
YLR331C,YLR199C,0.355,0.517,0.162,0.3446666666666667
YLR331C,YLR199C,0.355,0.517,0.162,0.3446666666666667
YLR331C,YLR200W,0.545,0.28,0.506,0.44366666666666665
YLR331C,YLR200W,0.545,0.28,0.506,0.44366666666666665
YLR331C,YLR203C,0.407,0.35,0.26,0.33899999999999997
YLR331C,YLR203C,0.407,0.35,0.26,0.33899999999999997
